cell_type,gene,n_cells,mean_expr,pct_expressing
B lymphocytes,C1QTNF6,27657,0.004925060451510019,0.46642802907039804
B lymphocytes,KNL1,27657,0.010437796476371506,1.0847163466753442
B lymphocytes,CD14,27657,0.019668372648312293,1.8512492316592546
B lymphocytes,CD3D,27657,0.10597489910013758,8.35954731171132
B lymphocytes,CD3E,27657,0.06373385508442914,5.159634089019055
B lymphocytes,CD4,27657,0.014839586853377221,1.3558954333441806
B lymphocytes,CD68,27657,0.11895565561429662,9.697364139277578
B lymphocytes,CD79A,27657,2.2784446204257285,91.02216437068374
B lymphocytes,CD8A,27657,0.015541827350171782,1.3486639910330116
B lymphocytes,CLDN5,27657,0.001908902238020566,0.16632317315688613
B lymphocytes,COL1A1,27657,0.012743831755228044,1.1751093755649564
B lymphocytes,DCN,27657,0.01841566567615218,1.786166250858734
B lymphocytes,DEPDC1B,27657,0.005254683594737966,0.7267599522724808
B lymphocytes,DKK1,27657,0.0019850541142199607,0.20248038471273097
B lymphocytes,ECT2,27657,0.004837839911929653,0.571283942582348
B lymphocytes,EPCAM,27657,0.018088401003250997,1.5294500488122356
B lymphocytes,ERO1A,27657,0.051834702812367295,4.812524858082945
B lymphocytes,FCGR3A,27657,0.015422178492321652,1.4535199045449616
B lymphocytes,GNLY,27657,0.037829566493557384,3.207144665003435
B lymphocytes,KRT18,27657,0.04942281285023146,4.476262790613588
B lymphocytes,KRT19,27657,0.03925529494839348,3.3373106266044763
B lymphocytes,LYZ,27657,0.13437408174783147,10.962866543732147
B lymphocytes,MARCO,27657,0.01766067816695409,1.7210832700582133
B lymphocytes,MKI67,27657,0.023356140411737936,1.854864952814839
B lymphocytes,MS4A1,27657,1.5556157888201776,71.21162815923637
B lymphocytes,MZB1,27657,0.5143247329280863,24.06985573272589
B lymphocytes,NAPSA,27657,0.05387474423727114,4.262935242434104
B lymphocytes,NKG7,27657,0.07053847691830034,5.521206204577503
B lymphocytes,PECAM1,27657,0.06329810699437186,6.566149618541418
B lymphocytes,PLK1,27657,0.013260016046728284,1.142567885164696
B lymphocytes,PTPRC,27657,0.6000770644583168,38.50381458581914
B lymphocytes,SFTPC,27657,0.2391588202319846,12.506779477166722
B lymphocytes,STEAP1,27657,0.0024418829422429,0.23863759626857575
B lymphocytes,TK1,27657,0.03838769385698164,2.8130310590447265
B lymphocytes,TOP2A,27657,0.020374923275106534,1.630690241168601
B lymphocytes,VWF,27657,0.0015303255332559677,0.17355461546805512
Endothelial cells,C1QTNF6,2107,0.027111233130097473,2.6103464641670624
Endothelial cells,KNL1,2107,0.005536405790313843,0.47460844803037494
Endothelial cells,CD14,2107,0.3539796589557544,21.357380161366873
Endothelial cells,CD3D,2107,0.05839595372590725,4.603701945894637
Endothelial cells,CD3E,2107,0.044751630443677484,3.6070242050308496
