,B lymphocytes,Endothelial cells,Epithelial cells,Fibroblasts,MAST cells,Myeloid cells,T/NK cells
ACTA2,0.017735710587541427,0.056537790202434615,0.044144935236447976,1.053569210354415,0.014193989930278495,0.046885200723447575,0.05780424184440931
AIF1,0.09697489657730063,0.1308228061461271,0.06271404711362306,0.09593576811324704,0.16812265715634886,2.3695647015575876,0.19726645128372328
C1QA,0.099068363972672,0.3981689295787541,0.17122683270581698,0.2457870738613353,0.30754382854694245,2.6037683877021447,0.1819066871590879
C1QB,0.08528212788395775,0.3245942889238341,0.1507102675007729,0.20040908406126576,0.22870550148124622,2.421450998182184,0.1540654964859831
C1QTNF6,0.004925060451510019,0.027111233130097473,0.03852514903987366,0.07602412886709053,0.0024756074127312826,0.0028173319555567116,0.009230981179344962
KNL1,0.010437796476371507,0.005536405790313844,0.012604866447046004,0.001970690762769701,0.003426931551275319,0.009135132898503614,0.007780158707654082
CCL5,0.16051099829711712,0.17464299103979342,0.05928648122776463,0.16033347489500105,0.10298005293870306,0.19756994997006358,1.9346677041656883
CD14,0.01966837264831229,0.3539796589557544,0.046312736930019555,0.18897703847117572,0.04948667262911522,1.154199731228724,0.022131560922508054
CD163,0.006782292181043852,0.018678556628310503,0.012154924467795493,0.014932413463554612,0.017317857343892643,0.7064406688900555,0.009537765701453522
CD19,0.4799269264166918,0.0019047636016393064,0.0016695356721752187,0.00531928141632077,0.0023396726670491647,0.005521953627051459,0.003943930328703314
CD2,0.05413592746613853,0.045845733824979876,0.015418457628663652,0.030804227831838813,0.03801977689677966,0.07051999646291868,1.465294331764836
CD3D,0.10597489910013758,0.058395953725907244,0.02892844846492608,0.05963772776202344,0.04917804782969134,0.07968851826730428,2.0003714719692813
CD3E,0.06373385508442914,0.044751630443677484,0.014680185112040655,0.03240740781642952,0.024471559053538837,0.038955054736340214,1.6267551807800762
CD3G,0.027777253178380108,0.017214509636099946,0.006783103049585332,0.014679386918769336,0.014740323618249205,0.02322090903664266,0.9903838562022644
CD4,0.014839586853377221,0.022527190836906106,0.013368823152974106,0.23684457694005057,0.056423896761981285,0.486447260322846,0.17758562993932042
CD68,0.11895565561429661,0.14592988650471142,0.10264993106982553,0.22072420085530747,0.4445158699688987,2.024418312498473,0.05820432970327106
CD79A,2.2784446204257285,0.01205274371832173,0.015246577180813332,0.018282303858542074,0.01592669861576742,0.021338964976661306,0.05494352837684313
CD79B,1.4256790593671644,0.08624694186508954,0.004963721285380407,0.021569732491193375,0.09147904487681272,0.0443727174705215,0.14585635135274463
CD8A,0.015541827350171782,0.02069496514585948,0.007033741762361794,0.020010239091190204,0.011683102428022837,0.01522852152970704,0.48321340895722975
CD8B,0.014618628050181914,0.00945319219938193,0.009562108925329596,0.01353778320037194,0.011124484402979824,0.01103547327787146,0.3870395580882726
CDH5,0.0005161052715017706,0.9095462437083841,0.0021444391112222876,0.010899462869303527,0.0007207542416700093,0.0020376710311316355,0.0005220210354752042
CLDN5,0.001908902238020566,2.7202006701556183,0.005479424613438562,0.009926064606811714,0.010550302085212713,0.00969204074258625,0.004856850302798591
COL1A1,0.012743831755228044,0.01780534212671418,0.3643890756922788,2.399005488515506,0.012127442386163123,0.024934952189702254,0.015481869564707589
COL1A2,0.006153301289369723,0.017626228183284843,0.036044197972638956,2.9317526744842217,0.010352513859094803,0.02066973424044524,0.009408859010650084
COL3A1,0.009665493873766126,0.042146057072357725,0.0424333391255674,2.024957176981948,0.01116476496064772,0.019592277132335734,0.009062165109465
DCN,0.01841566567615218,0.07643830439074638,0.0333156182248019,4.1930808136392725,0.03638071477274258,0.060211234789864634,0.027153001606510706
DEPDC1B,0.005254683594737966,0.0011929216626126833,0.010612778948309767,0.0026367135569261443,0.004764028412230471,0.005089328256445551,0.004915394625340492
DKK1,0.0019850541142199607,0.0,0.03658526942578188,0.010588629551143968,0.0,0.001081287125202056,0.00042520883375778937
ECT2,0.004837839911929653,0.027165741789866974,0.06938144147599974,0.008055447575481177,0.0005255332906234063,0.01758146026270602,0.004748409439787917
EPCAM,0.018088401003250997,0.039602332101272196,1.4520759759630768,0.048205148767382085,0.029831078777790846,0.04837335443115789,0.0224720778375658
ERO1A,0.051834702812367295,0.08838581577455337,0.5788751206505451,0.08770826749068418,0.05052513601554333,0.23964223274829366,0.09605024108085901
FCGR3A,0.015422178492321656,0.07232135838770674,0.02889940305232547,0.05317814687750745,0.0493357206442378,1.3034869075366087,0.2501313947713432
GNLY,0.037829566493557384,0.1277180869344283,0.08462743979674194,0.08111033801345391,0.06076821094263684,0.10318195084603975,0.6962398796636544
IGHG1,1.2359547039479364,0.1319988297945908,0.10343806867100107,0.27184504464014303,0.19781966062986905,0.13787744656823228,0.2523360207861539
IGKC,3.5094407380269708,0.6265114099649238,0.5360978574813312,0.9967696622740538,1.1111298670906147,0.7376687261390877,1.2318833970337684
IL7R,0.048521103870595675,0.5837055476099582,0.016448595033297493,0.044707624404926836,0.030659069004304543,0.28938595113222754,0.949717857976193
ITGAM,0.020772517417001028,0.02275198358838952,0.00690791722389365,0.009229094063421626,0.12437106993306951,0.319840698147321,0.03404793596546266
KLRD1,0.0076174829461858745,0.03185009414655389,0.008080877224035882,0.017063966004152466,0.011861239748894517,0.016865480772987797,0.4225542904912952
KRT18,0.04942281285023146,0.19255019666833922,2.0703370540176844,0.1556371548180626,0.05003359418146353,0.0949338459636647,0.07289812012736814
KRT19,0.03925529494839348,0.055716092708482386,2.1048089582729284,0.11738084353416643,0.3036797475510585,0.08631750059804384,0.05853596659949916
KRT8,0.029621826791792778,0.10399208493172613,1.7526976137294312,0.12586181168028648,0.039313880233339066,0.07905458647025092,0.04573718600081579
LUM,0.01650572671147833,0.03222719998422121,0.018201391851999173,3.13247612402897,0.028897788582830552,0.0245509442536899,0.01714760557111333
LYZ,0.13437408174783147,0.35507854439929365,0.157928719722806,0.1857613728735414,0.31168401206192,2.820369988211437,0.16430200088375663
MARCO,0.017660678166954085,0.14454608617587397,0.04177599413550791,0.05837824167858954,0.10167538445796269,1.2957426755232975,0.047604203213106856
MKI67,0.023356140411737936,0.004168614587818574,0.048625938740341774,0.006153685131843766,0.004895816858271743,0.03319152463741282,0.022574233698524404
MS4A1,1.5556157888201776,0.003219187974950631,0.004227571718760666,0.005642402703291634,0.010653882338674966,0.010947216636000677,0.03746558386119732
MUC1,0.029333242275932075,0.05344639189990301,1.655359252398547,0.08292623967512047,0.07774684947799469,0.06729319537154327,0.034750433629961754
MZB1,0.5143247329280863,0.020183663045146957,0.013627923978383976,0.01836379649051641,0.025683627687956925,0.02236176706140245,0.043326582750543255
NAPSA,0.05387474423727114,0.07721645408116525,1.5996480267439162,0.07914623176951421,0.15715250787067767,0.07893107984492717,0.061065119063548744
NCAM1,0.0014455991718097267,0.004437690716108496,0.008518848359673604,0.017136195423531467,0.0,0.002447580480734324,0.02355567556398429
NKG7,0.07053847691830034,0.19169467310206764,0.056776627785999324,0.10524444025745637,0.111667938678996,0.18516152385075862,1.3727720513808168
PDGFRB,0.0024322434006703456,0.0047709655327907935,0.0014780017557788918,0.6456547770417355,0.001540582312407923,0.004719271373555799,0.012964045079689046
PECAM1,0.06329810699437186,1.7607574557239845,0.03890887410386946,0.022272356786696406,0.02046859887559011,0.49960400592485055,0.049034555795963816
PLK1,0.013260016046728284,0.0019986483499880537,0.027507020284983565,0.005259930113936511,0.0030723574199879988,0.014473800182008596,0.00618572881588413
PTPRC,0.6000770644583167,0.08149502156882896,0.021396577453115063,0.060049478495869876,0.40961591720540164,0.7785847203298667,1.3552461343022817
RAMP2,0.004606543486569852,2.5211634365614417,0.017179284971330235,0.16310497733174575,0.0045440885868208245,0.009954229877611676,0.003325064564227501
SCGB1A1,0.0316605641262862,0.4725069975617533,0.18336015661324098,0.4026455131010641,0.21561248048664738,0.32269495967710443,0.1378373129191699
SCGB3A1,0.06258668915807047,0.3743456524653508,0.7783382275929261,0.27940188363645463,0.19365119675174572,0.34200401696920885,0.15454297059578267
SFTPB,0.06287041807720517,0.1786664043000374,1.6686713159556263,0.1576389850450547,0.21782003962742238,0.16723380754300263,0.1031344631408215
SFTPC,0.2391588202319846,1.0238361308588082,1.0147483107924196,0.7113079661509862,1.3293514081555866,0.6937372484529428,0.4537270864994515
STEAP1,0.0024418829422429003,0.0029012349215090842,0.21079938460388672,0.33141924052106453,0.0011780819940430877,0.005678230685887538,0.001910070997443421
TK1,0.038387693856981625,0.04624331531048985,0.17526574093462224,0.01435981378433701,0.007657851643364123,0.06528928729104032,0.023961816685608196
TOP2A,0.020374923275106527,0.00808198820794891,0.09075987305835417,0.008774539876646737,0.008451410643409867,0.032569636887479186,0.02080813111982676
VWF,0.0015303255332559677,1.7391349091733979,0.004572964477835877,0.006792749326483715,0.006991035122289229,0.00877322488570371,0.002510643397305424
