sample,origin,PLK1,ERO1A,KNL1,DEPDC1B,TK1,DKK1,C1QTNF6,STEAP1,ECT2,n_epi_cells,group
BRONCHO_11,mLN,0.07025954454621537,0.8550653621020737,0.024323916580395306,0.015168298198805512,0.1499766236120206,0.02385594866806108,0.011587342194803845,0.09050304690626587,0.09309780708396095,204,tumour_origin
BRONCHO_58,tL/B,0.029806768872012824,0.31484070400721537,0.01211159032505032,0.005461641714513197,0.23108038179537768,0.024027854907756607,0.010315062913066567,0.10184291218433114,0.10601685991442633,497,tumour_origin
EBUS_06,tL/B,0.05348257303078426,0.1963271492810287,0.060096439711619244,0.026081046479627074,0.18630962975811358,0.0052518189822309555,0.11933278610397964,0.0,0.08743258483734925,1197,tumour_origin
EBUS_10,mLN,0.045308817697684516,1.0353135126377366,0.042617983293938316,0.02117097709947327,0.350900114214203,0.15629891983223165,0.015513560024375038,0.5335064535685065,0.04488815512497893,400,tumour_origin
EBUS_12,mLN,0.07238728200916576,0.7137009616961949,0.011619099513059374,0.024995826625662656,0.4463982370578538,0.45440842020552813,0.04017577318204821,0.1961603313329768,0.16709921960025279,262,tumour_origin
EBUS_13,mLN,0.12667795479594166,0.28408447537677284,0.049846527281832025,0.04632342838389661,0.12876261519757812,0.2176257902719989,0.04233346017618285,0.03326065290953556,0.13360392516199165,381,tumour_origin
EBUS_15,mLN,0.08565166324229015,1.272625142318052,0.020513645219912814,0.030283313614787248,0.45115267412572396,0.11004511319792452,0.05473406376473056,0.3475376383130715,0.10587331026811657,263,tumour_origin
EBUS_19,mLN,0.02136009032109071,0.38557872586415887,0.012939291961791858,0.006664322758524689,0.2418076955142803,0.0,0.05822573683726421,0.36823823338275047,0.10331520849542648,228,tumour_origin
EBUS_28,tL/B,0.04118817751901838,0.3588530992648329,0.010739593809088949,0.008329655490206941,0.3426320930064448,0.06230519493887339,0.0156914350184384,0.4213229726904762,0.06017296572155006,4766,tumour_origin
EBUS_49,tL/B,0.07564232695441149,0.44591373537235246,0.03996382965949126,0.031570537914092894,0.20071426468108242,0.10608582426574634,0.025201091974746594,0.048235090378316706,0.08652709345550859,122,tumour_origin
EBUS_51,mLN,0.014249471750341134,0.48247144907798295,0.004357006837782494,0.005739168453950043,0.1541288727778694,0.09525625161442267,0.009546826580055895,0.23076560180287697,0.11774295741030785,1315,tumour_origin
EFFUSION_06,PE,0.12922925412801994,0.22233730060940252,0.11909101365835739,0.05403424533461372,0.3875826870261098,0.010754870469939854,0.1527487499988137,0.03276420876113907,0.2474752488733217,228,tumour_origin
EFFUSION_11,PE,0.017644781930834103,0.5993778104029708,0.005486973065106046,0.003283897076243684,0.08621090400662534,0.011441762774287026,0.05290137582631596,0.15878208396840202,0.05027045494962813,81,tumour_origin
EFFUSION_12,PE,0.170040123282581,0.7345180025798582,0.02407340355291564,0.10022702866340089,0.6558117997893947,0.010078703576002346,0.057104878840825074,0.5853957880314393,0.18735814982522306,25,tumour_origin
EFFUSION_13,PE,0.0036778252911356347,0.1727058533147303,0.006169778030423214,0.004810362384334825,0.06547343560373971,0.11970432409400886,0.09417023888401259,0.4577904022855995,0.05373431260822211,47,tumour_origin
LUNG_N01,nLung,0.0,0.10706836036431075,0.00550485988770289,0.0,0.02740805968978262,0.003959905781194289,0.0,0.006477985001589962,0.01779082971878449,199,normal_lung
LUNG_N06,nLung,0.001203207911978971,0.06814448179411985,0.0,0.0,0.04115930238519492,0.0,0.00902783576997318,0.0030205667807530062,0.017856740326022386,178,normal_lung
