section,patient,is_tumor,rho_leaveout,n_spots
P10_B1,P10,False,0.10904814140008694,1755
P10_B2,P10,False,0.04733667457799744,1842
P10_T1,P10,True,0.28035122052698597,2200
P10_T2,P10,True,0.32249927901063025,1986
P10_T3,P10,True,0.2907129866244893,2610
P10_T4,P10,True,0.28887706017199616,2479
P15_B1,P15,False,0.0919850834096693,2844
P15_B2,P15,False,0.17422620215873647,2824
P15_T1,P15,True,0.2150285374863436,2624
P15_T2,P15,True,0.16623305168512764,3131
P16_B1,P16,False,0.04763899191904633,3123
P16_B2,P16,False,0.04995058113125305,3351
P16_T1,P16,True,0.27765865992517474,2262
P16_T2,P16,True,0.3126370907687655,2210
P24_B1,P24,False,0.008123199803771899,2581
P24_B2,P24,False,-0.010368947886751667,3019
P24_T1,P24,True,0.4722997757380793,3426
P24_T2,P24,True,0.4171141991617788,3491
P25_B1,P25,False,0.08965855655553705,1965
P25_B2,P25,False,0.09377320596325438,2161
P25_T1,P25,True,0.2290518598598456,1308
P25_T2,P25,True,0.19162138634878834,1458
