section,is_tumor,rho_programme_vs_epithelial,n_spots
P10_B1,False,0.13925673998648064,1755
P10_B2,False,0.08290053750008207,1842
P10_T1,True,0.291748918911217,2200
P10_T2,True,0.3347335709573544,1986
P10_T3,True,0.3036097126209897,2610
P10_T4,True,0.3035399100600712,2479
P15_B1,False,0.11138423595800243,2844
P15_B2,False,0.19438212481051362,2824
P15_T1,True,0.23599678665616663,2624
P15_T2,True,0.18714689662614303,3131
P16_B1,False,0.07267923167972364,3123
P16_B2,False,0.06453953220528712,3351
P16_T1,True,0.29895252563332364,2262
P16_T2,True,0.3322197407133051,2210
P24_B1,False,0.035618037572870305,2581
P24_B2,False,0.01422233592682045,3019
P24_T1,True,0.4920215128739406,3426
P24_T2,True,0.43753141951160923,3491
P25_B1,False,0.11489414913310662,1965
P25_B2,False,0.12340038588059368,2161
P25_T1,True,0.24525974877735204,1308
P25_T2,True,0.21088209336794178,1458
